depth         color          imu
6540373  6545454  6516307
6573743  6578792  6557244
6573743  6578792  6557244
6607112  6612131  6590003
6640481  6645469  6622792
6640481  6645469  6622792
6673850  6678807  6651435
6707220  6712145  6684191
6740589  6745483  6717056
6740589  6745483  6717056
6773958  6778821  6749758
6807327  6812159  6786566
6840697  6845497  6815297
6840697  6845497  6815297
6874066  6878836  6852122
6874066  6878836  6852122
6907435  6912174  6884996
6940804  6945512  6917698
6940804  6945512  6917698
6974174  6978850  6950490
7007543  7012188  6987311
7007543  7012188  6987311
7040912  7045526  7020036
7074281  7078864  7052803
7074281  7078864  7052803
7107651  7112202  7085603
7141020  7145541  7118361
7174389  7178879  7151153
7207758  7212217  7183863
7207758  7212217  7183863
7241128  7245555  7216637
7274497  7278893  7253619
7307866  7312231  7283006
7307866  7312231  7283006
7341235  7345569  7323131
7374605  7378907  7355951
7407974  7412246  7388708
7407974  7412246  7388708
7441343  7445584  7421445
7474712  7478922  7450080
7508082  7512260  7486982
7541451  7545598  7519721
7541451  7545598  7519721
7574820  7578936  7552472
7608189  7612274  7585251
7608189  7612274  7585251
7641559  7645612  7618078
7674928  7678951  7650847
7708297  7712289  7691772
7741666  7745627  7724522
7741666  7745627  7724522
7775036  7778965  7753209
7808405  7812303  7786010
7841774  7845641  7818726
7841774  7845641  7818726
7875143  7878979  7851473
7908513  7912317  7884246
7941882  7945656  7921131
7941882  7945656  7921131
7975251  7978994  7953933
8008620  8012332  7986712
8041990  8045670  8019492
8041990  8045670  8019492
8075359  8079008  8056287
8108728  8112346  8089038
8142097  8145684  8121816
8142097  8145684  8121816
8175467  8179022  8154551
8208836  8212361  8183269
8208836  8212361  8183269
8242205  8245699  8220106
8275574  8279037  8252883
8308944  8312375  8285649
8308944  8312375  8285649
8342313  8345713  8318384
8375682  8379051  8351219
8409051  8412389  8384008
8442421  8445727  8424883
8475790  8479066  8453638
8475790  8479066  8453638
8509159  8512404  8490457
8542528  8545742  8519132
8575898  8579080  8551846
8609267  8612418  8588715
8642636  8645756  8621553
8642636  8645756  8621553
8676005  8679094  8654329
8709375  8712432  8687101
8742744  8745771  8723924
8776113  8779109  8723924
8776113  8779109  8756635
8809482  8812447  8789384
8842852  8845785  8822249
8876221  8879123  8855026
8876221  8879123  8855026
8909590  8912461  8887782
8942959  8945799  8920500
8976329  8979137  8953258
8976329  8979137  8953258
9009698  9012476  8986016
9043067  9045814  9018857
9043067  9045814  9018857
9076436  9079152  9051636
9109806  9112490  9092504
9143175  9145828  9121165
9176544  9179166  9154058
9176544  9179166  9154058
9209913  9212504  9186729
9243283  9245842  9219491
9276652  9279181  9252209
9310021  9312519  9289115
9310021  9312519  9289115
9343390  9345857  9321885
9376760  9379195  9354726
9410129  9412533  9391475
9443498  9445871  9424250
9476867  9479209  9424250
9476867  9479209  9457035
9510237  9512547  9489772
9543606  9545886  9522586
9576975  9579224  9555319
9610344  9612562  9588102
9610344  9612562  9588102
9643714  9645900  9625017
9677083  9679238  9653674
9710452  9712576  9686392
9743821  9745914  9727337
9777191  9779252  9760098
9810560  9812591  9792894
9810560  9812591  9792894
9843929  9845929  9825662
9877298  9879267  9858394
9910668  9912605  9887115
9910668  9912605  9887115
9944037  9945943  9924002
9977406  9979281  9956717
10010775  10012619  9989543
10010775  10012619  9989543
10044145  10045957  10022250
10077514  10079296  10055010
10110883  10112634  10087806
10144252  10145972  10120570
10177622  10179310  10153426
10210991  10212648  10186289
10210991  10212648  10186289
10244360  10245986  10223014
10277729  10279324  10255719
10277729  10279324  10255719
10311099  10312662  10288455
10344468  10346001  10321222
10377837  10379339  10321222
10377837  10379339  10354003
10411206  10412677  10386760
10444576  10446015  10419511
10444576  10446015  10419511
10477945  10479353  10456424
10511314  10512691  10489217
10511314  10512691  10489217
10544683  10546029  10522015
10578053  10579367  10558778
10578053  10579367  10558778
10611422  10612706  10591589
10644791  10646044  10624361
10678160  10679382  10657063
10711530  10712720  10689863
10744899  10746058  10722611
10778268  10779396  10755433
10811637  10812734  10788185
10845007  10846072  10820928
10845007  10846072  10820928
10878376  10879411  10861843
10911745  10912749  10894635
10945114  10946087  10928229
10978484  10979425  10960192
11011853  11012763  10993026
11045222  11046101  11025726
11078591  11079439  11054409
11145330  11146116  11124040
11178699  11179454  11156762
11212068  11212792  11189587
11245438  11246130  11222332
11278807  11279468  11255124
11278807  11279468  11255124
11312176  11312806  11296095
11345545  11346144  11324712
11378915  11379482  11357447
11378915  11379482  11357447
11412284  11412821  11390217
11445653  11446159  11423006
11445653  11446159  11423006
11479022  11479497  11455782
11512392  11512835  11492642
11545761  11546173  11525447
11579130  11579511  11558241
11645869  11646187  11627811
11679238  11679526  11660572
11745976  11746202  11726128
11779346  11779540  11758854
11812715  11812878  11787547
11812715  11812878  11787547
11846084  11846216  11824358
11879453  11879554  11857131
11912823  11912892  11889968
11912823  11912892  11889968
11946192  11946231  11922713
11979561  11979569  11955527
12012930  12012907  11988308
12012930  12012907  11988308
12046300  12046245  12029205
12079669  12079583  12057813
12113038  12112921  12090610
12113038  12112921  12090610
12146407  12146259  12123337
12179777  12179597  12156130
12213146  12212936  12188919
12213146  12212936  12188919
12246515  12246274  12225776
12279884  12279612  12258609
12346623  12346288  12291368
12379992  12379626  12360974
12480100  12479641  12459254
12513469  12512979  12492016
12546838  12546317  12524761
12580208  12579655  12557523
12613577  12612993  12590271
12646946  12646331  12623058
12680315  12679669  12664023
12747054  12746346  12729592
12813792  12813022  12762332
12813792  12813022  12791037
12847162  12846360  12823727
12880531  12879698  12856526
12913900  12913036  12889283
12913900  12913036  12889283
12947269  12946374  12922046
12980639  12979712  12958945
12980639  12979712  12958945
13014008  13013051  12991748
13047377  13046389  13024479
13080746  13079727  13057283
13114116  13113065  13094102
13147485  13146403  13126814
13180854  13179741  13159602
13214223  13213079  13192359
13247593  13246417  13225126
13280962  13279756  13257924
13314331  13313094  13290667
13347700  13346432  13327575
13381070  13379770  13356216
13381070  13379770  13356216
13414439  13413108  13393148
13447808  13446446  13429966
13481177  13479784  13462701
13481177  13479784  13462701
13514547  13513122  13495439
13547916  13546461  13528213
13547916  13546461  13528213
13581285  13579799  13561001
13614654  13613137  13589627
13614654  13613137  13589627
13648024  13646475  13626534
13681393  13679813  13659269
13714762  13713151  13692066
13714762  13713151  13692066
13748131  13746489  13724819
13781501  13779827  13757597
13781501  13779827  13757597
13814870  13813166  13790398
13848239  13846504  13823180
13881608  13879842  13864058
13914978  13913180  13896820
